id,sentence,label
65,bidenovi savjetnici su kasnije rekli da je predsjednik umjesto na libiju mislio ustvari na siriju a biden je na društvenim mrežama doživio lavinu negativnih komentara,1
66,tražim od medija da uskoče i prevedu nam što je joebiden predsjednik stvarno rekao napisao je na twitteru jedan korisnik a bilo je i komentara da je biden malo skrenuo,1
67,pretpostavljam da je kada bombardirate tako puno zemalja odjednom teško to pratiti napisala je libanonska geopolitička komentatorica sarah abdallah,1
70,sirija je danas kritizirala američkog predsjednika donalda trumpa koji je dan prije izjavio da je planirao eliminirati sirijskog predsjednika bašara alasada ocijenivši da su sjedinjene države država razbojnika i bezakonja prenijela je službena agencija sana,1
72,izjave američkog predsjednika jasno pokazuju razinu nepromišljenih političkih poteza sjedinjenih država ocijenilo je u utorak sirijsko ministarstvo vanjskih poslova,1
74,trump je u rujnu 2018 kazao da šefu pentagona nikada nije spomenuo moguće asadovo ubojstvo,0
75,trump je u travnju 2017 naredio bombardiranje sirijske vojne baze zbog napada sarinom pripisanog sirijskom režimu a u kojem je poginulo više od 80 civila,1
76,autobusi koji su posljednjih dana prevozili izbjeglice iz preševa perma granici srbije i mađarske od sinoć su preusmjereni na šid i granicu s hrvatskom,0
77,prvi autobusi stigli su jutros oko četiri sata a nešto prije sedam sati izbjeglice su krenule preko polja u smjeru iloka,0
79,vlak i dalje čeka na stanici u tovarniku,0
80,do sada je u njega ušlo oko 370 ljudi a čini se da vlak prema zagrebu neće krenuti dok se ne popuni,0
82,rekao je da je u hrvatsku ušlo 1300 izbjeglica i poručio da nema razloga za paniku,0
83,sada pristiže manje ljudi,0
84,velik broj ljudi će otići u druge centre rekao je ostojić dodavši da je ova zemlja i prije primala puno ljudi,1
85,naši kapaciteti za prvi prihvat su 1800 ljudi što se danas pokazalo dovoljno,1
86,nakon toga uz alternativne centre možemo primiti još ljudi kaže ostojić te dodaje da će vrijeme pokazati tko može dobiti zaštitu a tko ne,1
87,demantirao je i da hrvatska planira organizirati koridor kojim bi izbjeglice prolazile prema drugim zemljama europske unije,1
88,za sada kaže ostojić funkcionira samo koridor od tovarnika do prihvatnog centra u zagrebačkim dugavama,0
89,oni koji ne zatraže međunarodnu pomoć se smještaju u ježevo,0
90,imamo kvalitetnu kontrolu granice,0
91,sami ste vidjeli da hrvatska policija nije primjenjivala silu,1
92,ako se dogodi da budu stizali veliki valovi izbjeglica konkretno iz grčke i drugih zemalja preko srbije tada ćemo morati razmišljati o drugim postupcima kaže ostojić,1
93,vlak iz vinkovaca večeras će pokupiti izbjeglice na željezničkoj stanici u tovarniku te ih prebaciti u zagreb,1
94,vlak ima 11 vagona i može primiti 1000 ljudi,1
96,od tog broja 818 je muškaraca 189 žena te 184 djece,1
98,ranko ostojić se u večernjim satima sastao s ministrom unutarnjih poslova srbije nebojšom stefanovićem,0
99,oko 22 sata će ostojić dati izjavu novinarima u tovarniku,1
100,hrvatska se može nositi s nekoliko tisuća migranata ali ne i s desecima tisuća ljudi izjavila je u srijedu ministrica vanjskih i europskih poslova vesna pusić ističući da bi u tom slučaju hrvatska zatražila pomoć europskih i izvaneuropskih zemalja,1
101,ako ti brojevi prijeđu tisuće mi se s time sada možemo nositi ali s desecima tisuća naprosto ne možemo nemamo kapaciteta kazala je pusić u razgovoru za dnevnik htva,1
103,tijekom noći se očekuje još osam autobusa s izbjeglicama potvrdio je glasnogovornik pu vukovarskosrijemske domagoj džigmunović,0
104,dodao je da je vlak koji je poslan u vinkovce spreman za transport izbjeglica ali zasad nije bilo potrebe da ga se koristi jer su autobusi dovoljni,1
105,policija tijekom dana nije zabilježila nikakve incidente,1
106,ogroman broj osoba dolazi na granicu a to i kod nas izaziva zebnju i strah u kojem pravcu to sve ide,1
107,imamo raspoložive kapacitete određen broj osoba koji se može obraditi i odvesti s ovoga prostora izjavio je za rtl zdravko kelić načelnik kriznog stožera vukovarskosrijemske županije,1
109,autobuse moram jasno i glasno reći smo mi kao najsiromašnija županija organizirali i mi ih plaćamo,1
111,ali u isto vrijeme željeli smo široka srca željeli smo prihvatiti ljude i izraziti im dobrodošlicu,1
113,pitanje je koliko će policija ljudi moći obraditi,1
114,ali i koliko ćemo mi moći posao odraditi,0
115,moramo ozbiljnije shvatiti ovaj posao,0
117,snage koje su nam trebale doći pomoći ovdje iz državne vlasti iz zagreba nisu nam došle pomoći rekao je kelić,1
118,do 19 sati u republiku hrvatsku ušlo je 892 migranta od toga 360 ih je upućeno u registracijski centar u ježevu,0
119,u tijeku su pripreme za uspostavu i drugih registracijskih centara i objekata za smještaj priopćeno je iz policije,0
120,pu vukovarskosrijemska i dalje u nadzoru državne granice zatiče osobe u nezakonitom prelasku državne granice,0
121,u tijeku je organizacija privremenog premještaja tražitelja azila koji su otprije smješteni u prihvatilištu za tražitelje azila u zagrebu u porinu,0
122,oni će biti premješteni u prihvatilište za tražitelje azila u kutini,0
123,na taj način porin će se od sutra do daljnjega koristiti samo za potrebe registracije i smještaja ranjivih osoba iz migracijske krize i potencijalne tražitelje azila poručuju iz mupa,1
125,mjere prihvata i daljnjeg smještaja izbjeglica koje su nakon zatvaranja mađarske granice prema srbiji od srijede preusmjerava prema hrvatskoj provodi policija zajedno sa hrvatskim crvenim križem i državnom upravom za zaštitu i spašavanje mjere,1
126,do 1725 sati u policijskoj postaji tovarnik primljeno je 536 osoba a vukovarskosrijemska policija je do 1650 sati u nezakonitom prelasku granice zatekla 533 osobe,1
127,mup navode da provedene prve mjere sigurnosnog pregleda i prihvata nakon čega su autobusima krenuli u prihvatni centar za strance ježevo gdje je formiran privremeni registracijski punkt,1
128,dosad je u registracijskom centru u ježevu uz organizirani prijevoz i pratnju upućeno 311 osoba a 163 je već stiglo i upućeno u postupak registracije pružanja liječničke pomoći i pomoći hrvatskog crvenog križa,1
129,nakon što se provede registracija ranjive skupine i sve osobe koje zatraže azil prevest će se u prihvatilište za tražitelje azila u zagrebu,1
130,ostali će ovisno o njihovom konkretnom statusu biti smješteni u prihvatni centar za strance ježevo odnosno u objekt u okviru policijske uprave sisačko moslavačke navodi mup,1
131,u pripremi su i objekti za registraciju i smještaj na području osječkobaranjske policije te drugih policijskih uprava,0
132,opće stanje sigurnosti je zadovoljavajuće kažu u mupu a također se provode i određene sigurnosne provjere i aktivnosti utvrđene standardnim operativnim postupcima u skladu sa međunarodnim pravom eu pravom i nacionalnim propisima,0
133,izbjeglice pristižu u hrvatsku autobusima srbijanskih prijevoznika i iskrcavaju se na oko dva kilometra do državne granice republike hrvatske na tovarnik gdje dobiju naputak da se mimo ceste kroz polja kukuruza upute prema hrvatskoj,0
137,u sisku se sve službe spremne za prihvat jednog dijela izbjeglica koji na putu prema zapadnoj europi prolaze kroz hrvatsku,1
138,u bivšoj vojarni u strossmayerovoj ulici čiji jedan dio koriste pripadnici postrojbe interventne policije moguće je u slučaju potrebe smjestiti pedesetak ranjivih osoba,1
139,budući da je jedan dio starijih djece i bolesnih izbjeglica već stigao u ježevo u sisku očekuju kako bi u slučaju potrebe tijekom noći ili ujutro mogli prihvatiti jedan takav konvoj pa su zbog toga organizirana dežurstva,0
140,građanima se priopćenjem obratila i gradonačelnica kristina ikić baniček u kojem je navela da su sisak i siščani spremni bez predrasuda i u skladu s mogućnostima prihvatiti izbjeglice koji će svoje privremeno utočište naći u njihovom gradu,1
141,i sami smo kada nam je bilo potrebno dobivali pomoć drugih ljudi,0
142,očekujemo dolazak 50 žena i djece koji će biti prihvaćeni u vojarni na viktorovcu,1
144,nadležne institucije vode brigu o sigurnosti naših sugrađana kao i o humanitarnoj strani prihvata izbjeglica rekla je ikić baniček,1
145,ujedno su građani upozoreni da pomoć izbjeglicama ne nose sami u bivšu vojarnu već da o svojoj namjeri obavezno obavijeste gradsko društvo crvenog križa gdje će dobiti sve obavijesti o tome koja je vrsta pomoći potrebna,0
146,kutina je također spremna za prihvat izbjeglica i potrebitih,0
147,priopćio je gradonačelnik andrija rudić,0
148,sukladno sporazumu s ministarstvom unutarnjih poslova u gradu će biti smještene ranjive skupine posebno maloljetnici obitelji s djecom te trudnice,1
149,za sada znamo da se kapacitet prihvatilišta za tražitelje azila od 100 osoba neće premašivati,0
150,grad kutina nažalost nema nadležnosti nad vođenjem prihvatilišta za tražitelje azila jer cijelim procesom upravlja ministarstvo unutarnjih poslova,1
152,tri autobusa dovezla su izbjeglice u registracijski centar u ježevu a u vinkovce je iz zagreba stigao vlak za prihvat izbjeglica,0
153,vlak je u vinkovce stigao u 16 sati i 47 minuta i hž čeka upute ministarstva unutarnjih poslova u vezi s ukrcajem izvijestila je glasnogovornica hžputničkog prijevoza ivana čubelić,1
155,glasnogovornica čubelić rekla je telefonom hini da se još ne zna odredište vlaka,1
156,mediji pišu kako će se vlak vratiti u zagreb a izbjeglice smjestiti u centar za azilante u dugavama,0
157,glavni registracijski centar za izbjeglice je u prihvatnom centru za strance u ježevu kod dugog sela,0
158,između 16 i 1720 sati u ježevo su stigla tri najavljena autobusa sa 163 izbjeglice,0
160,uz žene i djecu u autobusima je stiglo i nekoliko muškaraca mlađe i srednje dobi,0
161,izbjeglice su stigle u pratnji policije a dovezli su ih autobusi vinkovačke tvrtke polet,0
162,novinari koji stoje pred ogradom prihvatilišta ne mogu doći do detaljnijih informacija,0
163,po protokolu izbjeglice u prihvatnom centru čeka registracija daljnja liječnička i druga pomoć kome je potrebna,1
164,nakon razgovora s migrantima tražitelje azila smještat će se u odgovarajuća prihvatilišta za njih a ostale u druge predviđene smještajne kapacitete,0
165,kako bi osigurala koordinirano djelovanje svih nadležnih tijela i institucija vlada će u četvrtak na sjednici osnovati stožer za koordinaciju aktivnosti povodom dolaska migranata u republiku hrvatsku,0
167,vlada će osnovati stožer čija je zadaća osigurati koordinirano djelovanje svih nadležnih tijela i institucija s ciljem humanitarnog prihvaćanja i zbrinjavanja migranata rekao je vladin glasnogovornik,0
169,u rad stožera po potrebi će se uključivati i predstavnici drugih tijela i institucija,1
171,uz poštrene mjere na granici s istočnom susjedom slovenija će na granici s hrvatskom provoditi schengensku regulativu kazao je cerar koji će kasnije poslijepodne održati i konferenciju za novinare,1
172,prije toga slovenskim premijer je za medije kazao da slovenija prati mogućnost dolaska većeg broja izbjeglica u sloveniju pri čemu će postupati humano ali u skladu sa zakonom te uz osiguravanje sigurnosti za svoje građane,0
173,o izbjegličkoj problematici bit će večeras riječi i na press konferenciji policije i ministarstva unutarnjih poslova u ljubljani kad je najavljena i izjava ministrice unutarnjih poslova vesne gjerkeš žnidar,1
174,ministar zdravlja siniša varga posjetio je poslijepodne policijsku postaju tovarnik u koju od ranoga jutra granična policija dovozi izbjeglice koje zatekne s hrvatske strane granice sa srbijom i izvijestio novinare da su zdravstveni djelatnici obavili već 30ak lakših medicinskih intervencija a da je jedna trudnica u 12 tjednu trudnoće prevezena je u bolnicu,1
176,svaka zdravstvena tegoba kod izbjeglica se identificira do sada je obavljeno 30ak lakših medicinskih intervencija a jedna trudnica u 12 tjednu trudnoće je zbog zdravstvenih tegoba prevezena u opću bolnicu vukovar rekao je vraga nakon susreta s ekipama za prihvat izbjeglica,1
178,aktiviran je protokol namijenjen zdravstvenim ustanovama crvenom križu civilnoj zaštiti i drugima rekao je i naglasio da je hrvatski zdravstveni sustav spreman prihvatiti veći broj izbjeglica,0
182,izbjeglicama se tijekom današnjeg dana u tovarniku pružala sitna medicinska pomoć a najčešće je bila riječ o lakšim ozljedama premorenosti iscrpljenosti i kod djece povišenoj tjelesnoj temperaturi rekla je krešić,1
183,ako se osobe duže zadržavaju u prihvatilištima prema njima se provodi epidemiološki nadzor,0
184,neposredne ugroze za stanovništvo tovarnika nema već i zbog toga što su izbjeglice kraće smještene u policijskoj postaji i zatim su utobusima odvezeni kazala je krešić,0
185,što se tiče zaraznih bolesti rekla je da izbjeglice već dugo putuju pa bi se eventualna bolest i manifestirala,0
186,od jutra do poslijepodnevnih sati hrvatski crveni križ hck podijelio je izbjeglicama značajne količine hrane i higijenskih potrepština a u srijedu je u podjeli sudjelovalo 70ak volontera crvenoga križa doznaje se od glasnogovornice katarine zorić,0
187,podijeljeno je 2000 litara vode 3000 peciva za doručak tisuću komada konzervirane hrane halal 50 litara mlijeka 60 kilograma jabuka 10 kilograma grožđa te slatkiši za djecu,0
188,od higijenskih potrepština podijeljeno je 1500 higijenskih artikala dezinfekcijska sredstva sapuni maramice 50 deka 15 setova prve pomoći 100 komada higijenskih proizvoda za djecu i 2500 maski i rukavica za izbjeglice policiju i volontere,0
189,iz hrvatskog crvenog križa poručuju kako je zasad na terenu dovoljno volontera te da će u slučaju pojačanih potreba osigurati veći broj ljudi,1
190,u prihvatni centar u ježevu je oko 16 sati uz policijsku pratnju stigao prvi autobus s izbjeglicama,0
191,najavljeni vlak iz zagreba je poslan u vinkovce te će se koristiti u skladu s direktivama policije,1
192,vijeće za nacionalnu sigurnost u saboru će raspravljati o izbjegličkoj krizi,0
193,zbog čega su izbjeglice do sada zaobilazili hrvatsku,1
194,liječnik u zdravstvenoj ambulanti u tovarniku dr shoukry nizar sirijac iz grada alepa koji je oženjen hrvaticom i smatra se hrvatom stavio se na raspolaganje hrvatskoj policiji kao tumač u razgovoru s izbjeglicama koje stižu u hrvatsku,1
195,dr nizar je u srijedu u tovarniku novinarima izjavio da je sve ovo što se događa tužno i da se tako nešto može dogoditi svakome,0
196,gledam žene i djecu kako hodaju gladni spavaju vani u nemogućim uvjetima i svaki čovjek mora reagirati na humani način rekao je dr nizar,1
198,izbjeglicama sam rekao da ih ovdje u hrvatskoj dočekuju kao ljude bez nasilja da dolaze u krasnu zemlju s divnim ljudima rekao je novinarima dr nizar koji u ambulanti u tovarniku radi već tri i pol godine,0
199,dr nizar je potvrdio da se uz sirijce afganistance i iračane nalazi i određeni broj ljudi koji ne govori arapski jezik pa pretpostavlja da je riječ o osobama iz albanije ili s kosova,0
200,u splitu osvanuli grafiti protiv izbjeglica,1
201,hrvatske željeznice su za prijevoz izbjeglica od tovarnika do glavnog registracijskog centra u ježevu ustupile jedan putnički vlak priopćilo je ravnateljstvo policije,0
202,novinarima iz sigurnosnih razloga neće biti omogućeno da se ukrcaju u vlak,0
203,do 14 sati u pp tovarnik gdje se provode prve sigurnosne mjere i prihvat migranata primljene su ukupno 373 osobe 225 muškaraca 75 žena 73 djece,1
204,za sada su u tri autobusa prema glavnom registracijskom centru u ježevo upućene 163 osobe,0
206,vukovarski zubar rodom iz aleppa angažiran je da prevodi jer jako malo izbjeglica govori engleski,0
207,kaže kako je najmanje ljudi iz sirije da ih ima ih sudana afganistana albanije iraka irana svi su užasno uplašeni nemaju pojma gdje su nemaju nikakvih saznanja o hrvatskoj osim što su ranije čuli da je hrvatska opasna,1
208,no svi koji su stigli ostali su ugodno iznenađeni rekao je novinarima shoukry nazir,1
212,to je maksimalna brojka koja bi se mogla ovih dana očekivati da pokuša proći preko hrvatske navodio ostojić te ističe da je situacija na granici mirna,1
213,izbjeglice dolaze na način da ih autobusi srbijanskih prijevoznika iskrcavaju na oko dva kilometra do državne granice republike hrvatske na tovarnik gdje dobiju naputak da se mimo ceste kroz polja kukuruza upute prema hrvatskoj,0
214,s hrvatske strane hrvatska granična policija uočene izbjeglice pokupi i dovozi u tovarnik,1
215,na trasi kretanja izbjeglica minirana šuma đeletovci,0
217,ekipe za prihvat izbjeglica za sada dobro odrađuju posao a mogu prihvatiti i zbrinuti onoliki broj izbjeglica koliko ih je u stanju mup obraditi rekao je kelić te dodao da se ne isključuje mogućnost otvaranja novih prihvatnih centara duž granice sa srbijom ukoliko izbjeglice krenu primjerice prema bajkovu ili iloku,1
218,glasnogovornica hrvatskog crvenog križa hck katarina zorić u izjavi novinarima istaknula je da su djelatnici hcka i volonteri u tovarniku od ranih jutarnjih sati te da su dosada izbjeglicama podijelili nešto više od 1000 litara vode 300 kilograma konzervi i brojne pakete s higijenskim potrepštinama kao što su vlažne maramice pelene i slično,0
219,naši timovi za prvu pomoć pružaju prvu pomoć umornim i iscrpljenim izbjeglicama a to čine i djelatnici hitne pomoći rekla je zorić dodavši da se akcija provodi koordinirano i protiče u najboljem redu,1
220,potvrdila je da se među izbjeglicama nalazi velik broj male djece,1
223,može primiti više od 1000 putnika,1
224,ima oko 600 sjedećih mjesta rekla je čubelić koja nije mogla dati preciznije podatke o povratnoj destinaciji toga vlaka,1
225,liječnici diljem hrvatske a pogotovo oni u tovarniku i pograničnim naseljima revoltirani su èinjenicom da im je tek danas stigla obavijest o postupanju s izbjeglicama što u ministarstvu zdravlja nisu komentirali,0
226,hžov vlak koji će izbjeglice dovesti do prihvatnog centra u zagrebu je krenuo,0
227,za 15 sati najavljena je iduća tiskovna konferencija pu vukovarskosrijemske,0
228,kako doznaje index do 1250 više od 320 izbjeglica je registrirano a grupa od 50ak njih većinom žene i djece prevezena je autobsom do prihvatnih centara,1
229,u 1530 u tovarnik dolazi ministar varga,0
230,kako javlja indexov kolega nitko nema pojma koliko izbjeglica mogu očekivati prema njegovim procjenama sigurno više od tisuću,1
231,rtl doznaje kako na istok hrvatske stiže izvanredni vlak koji će 500 izbjeglica prevesti u zagreb gdje će biti smješteni u dugavama u mupovom centru,1
232,hrt javlja kako se tijekom dana očekuje još 12 autobusa s izbjeglica,0
235,u krugu policijske postaje u tovarniku u srijedu prijepodne nalazi se 100njak izbjeglica i u tijeku je njihova registracija a uglavnom je riječ o osobama pristiglim sa srbijanskog graničnog prijelaza šida doznaje se od načelnika stožera zaštite i spašavanja vukovarkosrijemske županije zdravka kelića,1
236,operativne snage zaštite sustava i spašavanja do kraja dana na ovome području očekuju oko 500 izbjeglica koji su krenuli sinoć autobusima iz preševo sa srpskomakedonske granice rekao je kelić dodavši da će se izbjeglice naknadno u organiziranim prijevozom prevoziti prema zagrebu,1
237,policija maricama vozi izbjeglice na registraciju u policijsku postaju,0
238,milanović je u saboru rekao da će sazvati vijeće za nacionalnu sigurnost zbog izbjeglica no tom je prilikom poručio kolindi grabar kitarović da je za taj probleme ionako odgovorna isključivo vlada,0
240,u tijeku je postupak njihove registracije rekao je džigumović,0
241,reporterka n1 javlja da je oko 830 kolona policijskih vozila krenula prema poljima preko kojih izbjeglice pokušavaju ilegalno ući u hrvatsku,0
242,većina ljudi dospjelih u srijedu ujutro u šid sirijci su i afganistanci muškarci žene i djeca svih životnih dobi,0
243,za prijevoz od preševa do šida platili su 35 eura,0
244,jedan od njih amadu 35 kaže da je došao iz mauritanije,0
245,rekli su nam da je granica prema mađarskoj zatvorena i srpska policija nam je kazala da trebamo ići ovim smjerom ispričao je,1
246,poput brojnih drugih izbjeglica koji bježe pred ratnim sukobom i siromaštvom amadu nije nikada ranije čuo za hrvatsku i ne zna da je zemlja dio europske unije,1
247,želimo otići u bilo koju zemlju u kojoj vlada mir,1
248,u mauritaniji je život jako težak nema posla kazao je,1
249,amadu i prijatelj s kojim je doputovao do šida mršavi su izgledaju vrlo iscrpljeno i pomalo uplašeno,0
250,ne znamo što nam je sada činiti,0
251,trebamo li nastaviti čamcem pita se amadu,0
252,bio je vrlo sretan kad je saznao da nema više putovanja čamcem i da se šid nalazi nešto manje od deset km od hrvatske granice,0
253,dvadesetogodišnji mohamed kadir stiže iz pakistana,1
254,ni on nije nikad čuo za hrvatsku,1
255,kaže da samo traži posao,0
256,ja dolazim iz područja na kojemu nema novca nema hrane nema električne energije,0
257,moram zaraditi nešto novca da bih ga poslao svojoj braći i sestrama kaže mohamed,0
258,amadua i mohameda iznenadila je informacija o tomu da je grupa s kojom su stigli prva koja je isprobala novi put prema sjeveru europe,1
260,hrvatska policija okružila prvu skupinu izbjeglica i odvela ih na registriranje,1
261,ako budu mogli ući u hrvatsku izbjeglice koji žele nastaviti putovanje prema sjeveru europe morat će proći kroz slovenijeu javlja ap,0
262,na hrvatskom graničnom prijelazu tovarnik prema srbiji od ponoći se nalaze volonteri i djelatnici hrvatskog crvenog križa zbog najavljenog mogućeg vala izbjeglica potvrdila je hini glasnogovornica hrvatskog crvenog križa katarina zorić,1
263,došli su na poziv načelnika stožera zaštite i spašavanja vukovarskosrijemske županije a imaju pripremljena materijalna sredstva za prihvat vodu setove za prvu pomoć deke akrtikle za osobnu higijenu i drugo dodala je,1
264,na terenu na gp tovarnik je 11 članova tima crvenog križa od kojih su četvoro iz središnjeg ureda iz zagreba a 11oro su članovi interventnog tima crvenog križa u vinkovcima,1
266,hrvatski crveni križ djeluje u suradnji i koordinaciji s policijom te drugim državni institucijama i udrugama civilnog društva kaže glasnogovornica zorić,0
267,među grupom izbjeglica koje se kroz polja približavaju hrvatskoj granici ima nekoliko beba i jako puno male djece,0
269,žele izbjeći granicu kako ne bi bili registrirani u hrvatskoj jer se žele registrirari i dobiti azil u njemačkoj javlja hrt,0
270,autobusi su prevezli izbjeglice u šid nakon što je mađarska u potpunosti zatvorila svoju granicu zbog čega su tisuće zapele na putu prema njemačkoj,1
271,hrvatska je rekla piše bbc da neće samo tako propustiti izbjeglice,0
272,hrtov dopisnik javlja kako je prva skupina izbjeglica došla do granične crte s hrvatskom,1
273,dočekala ih je hrvatska policija i usmjerila prema policijskoj postaji u tovarniku,0
274,na hrvatskim graničnim prijelazima s republikom srbijom još nema pojedinačnih niti grupnih dolazaka izbjeglica iz sirije izjavio je hini u srijedu ujutro oko 730 sati glasnogovornik policijske vukovarskosrijemske domagoj džigumović,0
275,n1 javlja kako je jedan autobus s otprilike 50 izbjeglica većinom žena i djece stigao jutros oko 6 sati,0
276,nešto kasnije stigao je i drugi autobus,0
277,ljudi su zatim krenuli pješice prema tovarniku dodaju,1
279,u tovarniku je već spreman županijski stožer za zaštitu i spašavanja kao i crveni križ,0
280,dočekuju izbjeglice,0
281,na autobusima kojima se prevoze izbjeglice stoji šid i hrvatska,1
282,mađarska je u potpunosti zatvorila svoju granicu sa srbijom pa su rute sada promijenjene,0
285,srpski mediji prenose da su preusmjereni autobusi s izbjeglicama koji su preko makedonije stigli na jug srbije i koji su ih dosad prevozili na sjever prema granici s mađarskom,1
