id,tokens,label,pos
13,"[""i"",""dalje"",""pucaju"",""po"",""narodu"",""ali"",""mi"",""pružamo"",""otpor"",""kazao"",""je"",""lokalni"",""aktivist"",""abazid"",""abdullah"",""afpu""]","[0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0]","[""CCONJ"",""ADV"",""VERB"",""ADP"",""NOUN"",""CCONJ"",""PRON"",""VERB"",""NOUN"",""VERB"",""AUX"",""ADJ"",""NOUN"",""NOUN"",""NOUN"",""NOUN""]"
14,"[""aktivisti"",""tvrde"",""da"",""je"",""u"",""sukobima"",""od"",""sredine"",""ožujka"",""ubijeno"",""više"",""od"",""350"",""ljudi""]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[""NOUN"",""VERB"",""PART"",""AUX"",""ADP"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""ADJ"",""ADV"",""ADP"",""NUM"",""NOUN""]"
15,"[""sirijska"",""vlada"",""odgovorna"",""je"",""za"",""više"",""od"",""2000"",""smrti"",""tijekom"",""gušenja"",""prosvjeda"",""rekla"",""je"",""američka"",""državna"",""tajnica"",""hillary"",""clinton""]","[0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""ADJ"",""AUX"",""ADP"",""ADV"",""ADP"",""NUM"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""VERB"",""AUX"",""ADJ"",""ADJ"",""NOUN"",""PROPN"",""NOUN""]"
16,"[""clinton"",""je"",""reagirala"",""na"",""vijest"",""da"",""je"",""od"",""nedjelje"",""u"",""pobunjeničkom"",""uporištu"",""hami"",""ubijeno"",""preko"",""140"",""civila""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""NOUN"",""AUX"",""VERB"",""ADP"",""NOUN"",""PART"",""AUX"",""ADP"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""X"",""ADJ"",""ADP"",""NUM"",""NOUN""]"
17,"[""stanovnici"",""toga"",""grada"",""javljaju"",""da"",""vojska"",""snajperima"",""i"",""tenkovima"",""puca"",""na"",""civile"",""te"",""da"",""su"",""zalihe"",""hrane"",""i"",""lijekova"",""na"",""izmaku""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[""NOUN"",""DET"",""NOUN"",""VERB"",""PART"",""NOUN"",""NOUN"",""CCONJ"",""NOUN"",""VERB"",""ADP"",""NOUN"",""PRON"",""PART"",""AUX"",""NOUN"",""NOUN"",""CCONJ"",""NOUN"",""ADP"",""NOUN""]"
18,"[""aktivisti"",""su"",""kritizirali"",""i"",""jučerašnji"",""dekret"",""o"",""višestranačju"",""predsjednika"",""bašara"",""alasada"",""s"",""obzirom"",""da"",""je"",""usprkos"",""dekretu"",""nastavio"",""s"",""ubijanjem"",""političkih"",""neistomišljenika""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""NOUN"",""AUX"",""VERB"",""CCONJ"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""NOUN"",""NOUN"",""ADP"",""NOUN"",""PART"",""AUX"",""ADP"",""NOUN"",""VERB"",""ADP"",""NOUN"",""ADJ"",""NOUN""]"
19,"[""višestranački"",""sustav"",""je"",""uz"",""odlazak"",""predsjednika"",""jedan"",""od"",""ključnih"",""zahtjeva"",""prosvjednika"",""koji"",""su"",""od"",""sredine"",""ožujka"",""na"",""ulicama""]","[0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0]","[""ADJ"",""NOUN"",""AUX"",""ADP"",""NOUN"",""NOUN"",""NUM"",""ADP"",""ADJ"",""NOUN"",""NOUN"",""DET"",""AUX"",""ADP"",""NOUN"",""NOUN"",""ADP"",""NOUN""]"
20,"[""clinton"",""je"",""ponovila"",""raniju"",""izjavu"",""da"",""sad"",""smatra"",""kako"",""je"",""asad"",""izgubio"",""legitimnost"",""u"",""siriji""]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]","[""NOUN"",""AUX"",""VERB"",""ADJ"",""NOUN"",""PART"",""ADV"",""VERB"",""ADV"",""AUX"",""NOUN"",""VERB"",""NOUN"",""ADP"",""NOUN""]"
21,"[""vidjeli"",""smo"",""da"",""asadov"",""režim"",""ovoga"",""tjedna"",""nastavlja"",""i"",""pojačava"",""napade"",""protiv"",""vlastitoga"",""naroda""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""VERB"",""AUX"",""PART"",""ADJ"",""NOUN"",""DET"",""NOUN"",""VERB"",""CCONJ"",""VERB"",""NOUN"",""ADP"",""ADJ"",""NOUN""]"
22,"[""smatramo"",""da"",""je"",""njegova"",""vlada"",""dosad"",""odgovorna"",""za"",""više"",""od"",""2000"",""smrti"",""rekla"",""je""]","[0,0,0,0,0,0,1,0,0,0,0,0,0,0]","[""VERB"",""PART"",""AUX"",""DET"",""NOUN"",""ADV"",""ADJ"",""ADP"",""ADV"",""ADP"",""NUM"",""NOUN"",""VERB"",""AUX""]"
24,"[""zaoštravanje"",""međunarodnoga"",""stava"",""o"",""siriji"",""uslijedilo"",""je"",""nakon"",""osude"",""nasilja"",""od"",""strane"",""vijeća"",""sigurnosti"",""una"",""ovoga"",""tjedna""]","[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]","[""NOUN"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""VERB"",""AUX"",""ADV"",""NOUN"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""NOUN"",""X"",""DET"",""NOUN""]"
25,"[""sirijska"",""državna"",""televizija"",""objavila"",""je"",""kako"",""su"",""nacionalne"",""vlasti"",""na"",""slobodu"",""pustile"",""755"",""ljudi"",""zatvorenih"",""tijekom"",""devetomjesečnog"",""ustanka"",""protiv"",""režima"",""predsjednika"",""bashara"",""alassada""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""ADJ"",""NOUN"",""VERB"",""AUX"",""ADV"",""AUX"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""VERB"",""NUM"",""NOUN"",""ADJ"",""ADP"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""NOUN"",""NOUN""]"
27,"[""sličan"",""potez"",""vlada"",""je"",""napravila"",""i"",""u"",""studenom"",""kada"",""su"",""na"",""slobodu"",""pustili"",""1180"",""ljudi"",""pod"",""sličnim"",""okolnostima"",""i"",""obrazloženjem""]","[0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""NOUN"",""AUX"",""VERB"",""CCONJ"",""ADP"",""NOUN"",""ADV"",""AUX"",""ADP"",""NOUN"",""VERB"",""NUM"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""CCONJ"",""NOUN""]"
28,"[""međutim"",""broj"",""ljudi"",""koji"",""su"",""danas"",""pušteni"",""na"",""slobodu"",""vjerojatno"",""je"",""samo"",""mali"",""dio"",""onih"",""koji"",""su"",""dospjeli"",""u"",""zatvor"",""po"",""političkoj"",""osnovi"",""tijekom"",""ustanka"",""smatra"",""unov"",""visoki"",""povjerenik"",""za"",""ljudska"",""prava"",""navi"",""pillay""]","[0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADV"",""NOUN"",""NOUN"",""DET"",""AUX"",""ADV"",""ADJ"",""ADP"",""NOUN"",""ADV"",""AUX"",""ADV"",""ADJ"",""NOUN"",""DET"",""DET"",""AUX"",""VERB"",""ADP"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""VERB"",""NOUN"",""ADJ"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""X"",""NOUN""]"
29,"[""on"",""je"",""ranije"",""ovog"",""mjeseca"",""kazao"",""kako"",""su"",""od"",""početka"",""ustanka"",""uhićene"",""desetine"",""tisuća"",""ljudi""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[""X"",""AUX"",""ADV"",""DET"",""NOUN"",""VERB"",""ADV"",""AUX"",""ADP"",""NOUN"",""NOUN"",""ADJ"",""NOUN"",""NOUN"",""NOUN""]"
30,"[""neki"",""aktivisti"",""govore"",""kako"",""bi"",""takvih"",""zatvorenika"",""moglo"",""biti"",""i"",""40000"",""a"",""un"",""se"",""zadržao"",""na"",""brojci"",""od"",""14000""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]","[""DET"",""NOUN"",""VERB"",""ADV"",""AUX"",""DET"",""NOUN"",""VERB"",""AUX"",""CCONJ"",""NUM"",""CCONJ"",""PROPN"",""PRON"",""VERB"",""ADP"",""NOUN"",""ADP"",""NUM""]"
32,"[""unhcrov"",""predstavnik"",""u"",""jordanu"",""andrew"",""harper"",""je"",""kazao"",""da"",""bi"",""zemlje"",""koje"",""graniče"",""sa"",""ratnom"",""sirijom"",""zbog"",""nedostatka"",""novca"",""mogle"",""zatvoriti"",""svoje"",""granice"",""te"",""bi"",""one"",""mogle"",""završiti"",""u"",""europi""]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0]","[""NOUN"",""NOUN"",""ADP"",""NOUN"",""PROPN"",""X"",""AUX"",""VERB"",""PART"",""AUX"",""NOUN"",""DET"",""VERB"",""ADP"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""NOUN"",""VERB"",""VERB"",""DET"",""NOUN"",""PRON"",""AUX"",""PRON"",""VERB"",""VERB"",""ADP"",""NOUN""]"
33,"[""uz"",""zatvaranje"",""granica"",""država"",""ima"",""malo"",""izbora"",""kada"",""procijeni"",""da"",""ne"",""može"",""primiti"",""više"",""izbjeglica"",""kazao"",""je"",""harper"",""i"",""objasnio"",""da"",""će"",""se"",""potom"",""ti"",""ljudi"",""ili"",""morati"",""vratiti"",""u"",""siriju"",""ili"",""otići"",""tražiti"",""neke"",""druge"",""države"",""za"",""bijeg"",""a"",""tu"",""onda"",""dolaze"",""u"",""obzir"",""i"",""europske"",""države"",""piše"",""eu"",""observer""]","[0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADP"",""NOUN"",""NOUN"",""NOUN"",""VERB"",""ADV"",""NOUN"",""ADV"",""VERB"",""PART"",""PART"",""VERB"",""VERB"",""ADV"",""NOUN"",""VERB"",""AUX"",""X"",""CCONJ"",""VERB"",""PART"",""AUX"",""PRON"",""ADV"",""PRON"",""NOUN"",""CCONJ"",""VERB"",""VERB"",""ADP"",""NOUN"",""CCONJ"",""VERB"",""VERB"",""DET"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""CCONJ"",""ADV"",""ADV"",""VERB"",""ADP"",""NOUN"",""CCONJ"",""ADJ"",""NOUN"",""VERB"",""PROPN"",""X""]"
34,"[""u"",""nedjelju"",""su"",""sirijske"",""vlasti"",""otvorile"",""novi"",""izbjeglički"",""kamp"",""kako"",""bi"",""rasteretile"",""mjesta"",""na"",""kojima"",""se"",""sada"",""nalaze"",""tisuće"",""izbjeglica"",""iz"",""ratom"",""zahvaćene"",""sirije""]","[0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]","[""ADP"",""NOUN"",""AUX"",""ADJ"",""NOUN"",""VERB"",""ADJ"",""ADJ"",""NOUN"",""ADV"",""AUX"",""VERB"",""NOUN"",""ADP"",""DET"",""PRON"",""ADV"",""VERB"",""NOUN"",""NOUN"",""ADP"",""NOUN"",""ADJ"",""NOUN""]"
36,"[""jordanci"",""se"",""žale"",""kako"",""im"",""već"",""nestaje"",""sredstava"",""za"",""zbrinjavanje"",""izbjeglih""]","[0,0,0,0,0,0,0,0,0,0,0]","[""X"",""PRON"",""VERB"",""ADV"",""PRON"",""ADV"",""VERB"",""NOUN"",""ADP"",""NOUN"",""ADJ""]"
37,"[""eu"",""daje"",""nekakvu"",""pomoć"",""no"",""mi"",""očajnički"",""trebamo"",""još"",""novca""]","[0,0,0,1,0,0,1,0,0,0]","[""PROPN"",""VERB"",""DET"",""NOUN"",""CCONJ"",""PRON"",""ADV"",""VERB"",""ADV"",""NOUN""]"
38,"[""nadamo"",""se"",""da"",""će"",""moći"",""pružiti"",""potporu"",""kako"",""bi"",""mi"",""mogli"",""pomoći""]","[0,0,0,0,0,1,0,0,0,0,0,0]","[""VERB"",""PRON"",""PART"",""AUX"",""VERB"",""VERB"",""NOUN"",""ADV"",""AUX"",""PRON"",""VERB"",""VERB""]"
41,"[""većinom"",""su"",""žene"",""i"",""djeca"",""iz"",""gradova"",""i"",""mjesta"",""blizu"",""granice""]","[0,0,0,0,0,0,0,0,0,0,0]","[""ADV"",""AUX"",""NOUN"",""CCONJ"",""NOUN"",""ADP"",""NOUN"",""CCONJ"",""NOUN"",""ADV"",""NOUN""]"
42,"[""prošlog"",""tjedna"",""je"",""veći"",""broj"",""izbjeglica"",""iz"",""damaska"",""prešao"",""u"",""jordan""]","[0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""AUX"",""ADJ"",""NOUN"",""NOUN"",""ADP"",""NOUN"",""VERB"",""ADP"",""NOUN""]"
43,"[""pokušavamo"",""smanjiti"",""troškove"",""kampova"",""ali"",""jordan"",""će"",""vjerojatno"",""zatvoriti"",""granicu"",""ako"",""ne"",""dobije"",""novac""]","[0,0,0,0,0,0,0,0,1,1,0,0,0,0]","[""VERB"",""VERB"",""NOUN"",""NOUN"",""CCONJ"",""NOUN"",""AUX"",""ADV"",""VERB"",""NOUN"",""SCONJ"",""PART"",""VERB"",""NOUN""]"
44,"[""izbjeglice"",""će"",""se"",""morati"",""vratiti"",""ili"",""otići"",""negdje"",""drugdje"",""objašnjava"",""harper""]","[0,0,0,0,0,0,0,0,0,0,0]","[""NOUN"",""AUX"",""PRON"",""VERB"",""VERB"",""CCONJ"",""VERB"",""ADV"",""ADV"",""VERB"",""X""]"
45,"[""procjenjuje"",""da"",""im"",""treba"",""oko"",""12"",""milijuna"",""dolara"",""kako"",""bi"",""kampovi"",""ostali"",""u"",""funkciji""]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0]","[""VERB"",""PART"",""PRON"",""VERB"",""ADV"",""NUM"",""NOUN"",""NOUN"",""ADV"",""AUX"",""NOUN"",""ADJ"",""ADP"",""NOUN""]"
46,"[""žestoko"",""nasilje"",""tijekom"",""vikenda"",""u"",""najvećem"",""sirijskom"",""gradu"",""aleppu"",""je"",""natjeralo"",""oko"",""200"",""tisuća"",""stanovnika"",""u"",""bijeg"",""a"",""mnogi"",""su"",""spas"",""potražili"",""u"",""turskoj""]","[0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0]","[""ADV"",""NOUN"",""ADP"",""NOUN"",""ADP"",""ADJ"",""ADJ"",""NOUN"",""PROPN"",""AUX"",""VERB"",""ADV"",""NUM"",""NOUN"",""NOUN"",""ADP"",""NOUN"",""CCONJ"",""ADJ"",""AUX"",""NOUN"",""VERB"",""ADP"",""ADJ""]"
47,"[""do"",""sada"",""je"",""u"",""tursku"",""pobjeglo"",""oko"",""70"",""tisuća"",""sirijskih"",""izbjeglica""]","[0,0,0,0,0,0,0,0,0,0,0]","[""ADP"",""ADV"",""AUX"",""ADP"",""ADJ"",""VERB"",""ADV"",""NUM"",""NOUN"",""ADJ"",""NOUN""]"
48,"[""u"",""toj"",""državi"",""je"",""u"",""pogonu"",""osam"",""kampova"",""a"",""planira"",""se"",""otvaranje"",""još"",""dva"",""u"",""koja"",""stane"",""po"",""10"",""tisuća"",""ljudi""]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]","[""ADP"",""DET"",""NOUN"",""AUX"",""ADP"",""NOUN"",""NUM"",""NOUN"",""CCONJ"",""VERB"",""PRON"",""NOUN"",""ADV"",""NUM"",""ADP"",""DET"",""VERB"",""ADP"",""NUM"",""NOUN"",""NOUN""]"
49,"[""grčka"",""je"",""na"",""granicu"",""sa"",""turskom"",""dopremila"",""dodatnih"",""1800"",""graničnih"",""policajaca""]","[0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""AUX"",""ADP"",""NOUN"",""ADP"",""ADJ"",""VERB"",""ADJ"",""NUM"",""ADJ"",""NOUN""]"
50,"[""jučer"",""je"",""grčki"",""ministar"",""nikos"",""denidias"",""kazao"",""da"",""su"",""vrlo"",""zabrinuti"",""zbog"",""stanja"",""u"",""siriji""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADV"",""AUX"",""ADJ"",""NOUN"",""NOUN"",""X"",""VERB"",""PART"",""AUX"",""ADV"",""ADJ"",""ADP"",""NOUN"",""ADP"",""NOUN""]"
51,"[""u"",""cipar"",""koji"",""je"",""morem"",""udaljen"",""100"",""kilometara"",""od"",""sirijske"",""obale"",""još"",""nisu"",""dolazile"",""izbjeglice"",""iz"",""te"",""države""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADP"",""NOUN"",""DET"",""AUX"",""NOUN"",""ADJ"",""NUM"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""ADV"",""AUX"",""VERB"",""NOUN"",""ADP"",""PRON"",""NOUN""]"
56,"[""europska"",""komisija"",""se"",""obvezala"",""dati"",""40"",""milijuna"",""eura"",""humanitarne"",""pomoći"",""u"",""siriji"",""i"",""za"",""izbjeglice""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""PRON"",""VERB"",""VERB"",""NUM"",""NOUN"",""NOUN"",""ADJ"",""VERB"",""ADP"",""NOUN"",""CCONJ"",""ADP"",""NOUN""]"
58,"[""europska"",""granična"",""agencija"",""frontex"",""je"",""izvijestila"",""da"",""je"",""oko"",""715"",""sirijskih"",""izbjeglica"",""pokušalo"",""ući"",""u"",""eu"",""u"",""prva"",""tri"",""mjeseca"",""2012"",""godine"",""što"",""je"",""pet"",""puta"",""više"",""nego"",""u"",""2011""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""ADJ"",""NOUN"",""NOUN"",""AUX"",""VERB"",""PART"",""AUX"",""ADV"",""NUM"",""ADJ"",""NOUN"",""VERB"",""VERB"",""ADP"",""PROPN"",""ADP"",""ADJ"",""NUM"",""NOUN"",""NUM"",""NOUN"",""PRON"",""AUX"",""NUM"",""ADV"",""ADV"",""CCONJ"",""ADP"",""NUM""]"
59,"[""većina"",""njih"",""je"",""pokušala"",""iz"",""turske"",""ući"",""u"",""grčku""]","[0,0,0,0,0,0,0,0,0]","[""NOUN"",""PRON"",""AUX"",""VERB"",""ADP"",""ADJ"",""VERB"",""ADP"",""ADJ""]"
60,"[""američki"",""predsjednik"",""joe"",""biden"",""se"",""tijekom"",""konferencije"",""za"",""novinare"",""na"",""summitu"",""g7"",""dok"",""je"",""govorio"",""o"",""humanitarnoj"",""pomoći"",""zemljama"",""pogođenim"",""građanskim"",""ratom"",""zbunio"",""pomiješavši"",""libiju"",""i"",""siriju"",""i"",""to"",""ne"",""jednom"",""već"",""tri"",""puta"",""javio"",""je"",""fox"",""news""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""PROPN"",""PROPN"",""PRON"",""ADP"",""NOUN"",""ADP"",""NOUN"",""ADP"",""NOUN"",""X"",""SCONJ"",""AUX"",""VERB"",""ADP"",""ADJ"",""VERB"",""NOUN"",""ADJ"",""ADJ"",""NOUN"",""VERB"",""ADV"",""NOUN"",""CCONJ"",""NOUN"",""CCONJ"",""DET"",""PART"",""ADV"",""ADV"",""NUM"",""ADV"",""VERB"",""AUX"",""PROPN"",""X""]"
62,"[""sve"",""dok"",""su"",""tamo"",""bez"",""mogućnosti"",""da"",""uvedu"",""neki"",""red"",""u"",""regiji"",""to"",""ne"",""možete"",""dobro"",""učiniti"",""a"",""da"",""ne"",""zadovoljite"",""temeljne"",""ekonomske"",""potrebe"",""ljudi""]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""SCONJ"",""AUX"",""ADV"",""ADP"",""NOUN"",""PART"",""VERB"",""DET"",""NOUN"",""ADP"",""NOUN"",""DET"",""PART"",""VERB"",""ADV"",""VERB"",""CCONJ"",""PART"",""PART"",""VERB"",""ADJ"",""ADJ"",""NOUN"",""NOUN""]"
63,"[""dakle"",""nadam"",""se"",""da"",""ćemo"",""naći"",""način"",""da"",""spasimo"",""živote"",""ljudi"",""u"",""na"",""primjer"",""libiji"",""rekao"",""je"",""biden""]","[0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0]","[""CCONJ"",""VERB"",""PRON"",""PART"",""AUX"",""VERB"",""NOUN"",""PART"",""VERB"",""NOUN"",""NOUN"",""ADP"",""ADP"",""NOUN"",""NOUN"",""VERB"",""AUX"",""PROPN""]"
64,"[""potom"",""je"",""rekao"",""da"",""je"",""rusija"",""svojom"",""intervencijom"",""u"",""siriji"",""zagrizla"",""više"",""nego"",""što"",""može"",""progutati"",""a"",""nakon"",""toga"",""je"",""ponovo"",""spomenuo"",""libiju""]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0]","[""ADV"",""AUX"",""VERB"",""PART"",""AUX"",""PROPN"",""DET"",""NOUN"",""ADP"",""NOUN"",""VERB"",""ADV"",""CCONJ"",""PRON"",""VERB"",""VERB"",""CCONJ"",""ADV"",""DET"",""AUX"",""ADV"",""VERB"",""NOUN""]"
65,"[""bidenovi"",""savjetnici"",""su"",""kasnije"",""rekli"",""da"",""je"",""predsjednik"",""umjesto"",""na"",""libiju"",""mislio"",""ustvari"",""na"",""siriju"",""a"",""biden"",""je"",""na"",""društvenim"",""mrežama"",""doživio"",""lavinu"",""negativnih"",""komentara""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1]","[""NOUN"",""NOUN"",""AUX"",""ADV"",""VERB"",""PART"",""AUX"",""NOUN"",""ADV"",""ADP"",""NOUN"",""VERB"",""ADV"",""ADP"",""NOUN"",""CCONJ"",""PROPN"",""AUX"",""ADP"",""ADJ"",""NOUN"",""VERB"",""NOUN"",""ADJ"",""NOUN""]"
